,link,title,text
0,https://www.rbc.ru/politics/02/12/2023/656af56f9a7947e533cc4dc7,,
1,https://www.rbc.ru/politics/02/12/2023/6569d9db9a7947e27de7dd2e,,
2,https://www.rbc.ru/politics/02/12/2023/656ac6b49a7947449a569d6a,,
3,https://www.rbc.ru/politics/01/12/2023/621a39ba9a79472784f029d4,,
4,https://www.rbc.ru/politics/01/12/2023/65699c269a7947d5f9c6c9c6,,
5,https://www.rbc.ru/rbcfreenews/656939fe9a7947e7beb07ff0,,
6,https://www.rbc.ru/politics/04/12/2023/65698d159a794756a7f55f88,,
7,https://www.rbc.ru/politics/04/12/2023/656d46469a79475b345e94fb,,
8,https://www.rbc.ru/politics/04/12/2023/656d3a889a79476959eee606,,
9,https://www.rbc.ru/politics/04/12/2023/656ce5e89a79471eb8ae897c,,
10,https://www.rbc.ru/politics/03/12/2023/656cd1399a794735f07cc2f2,,
11,https://www.rbc.ru/rbcfreenews/656ccae89a794780f1799181,,
12,https://www.rbc.ru/politics/03/12/2023/656cca899a79474aee65ad53,,
13,https://www.rbc.ru/politics/03/12/2023/656cbb0d9a7947857a62e72c,,
14,https://www.rbc.ru/politics/03/12/2023/656c94039a794715131fbc51,,
15,https://www.rbc.ru/politics/03/12/2023/656c9dad9a79476cba28a5ba,,
16,https://www.rbc.ru/rbcfreenews/656c97959a794702285ce207,,
17,https://www.rbc.ru/politics/03/12/2023/656c95c69a79474da17ed786,,
18,https://www.rbc.ru/politics/03/12/2023/656c873b9a7947632dfa37e7,,
19,https://www.rbc.ru/politics/03/12/2023/656c79309a7947ada1588eeb,,
20,https://www.rbc.ru/rbcfreenews/656c55b89a79475e304f41cf,,
21,https://www.rbc.ru/politics/03/12/2023/656c50909a794717a01c57dd,,
22,https://www.rbc.ru/rbcfreenews/656c50f39a794717a01c57e2,,
23,https://www.rbc.ru/rbcfreenews/656c447d9a7947d5c65b5ed3,,
24,https://www.rbc.ru/politics/03/12/2023/656c3d659a79477b1ff48093,,
25,https://www.rbc.ru/politics/03/12/2023/656c1c279a7947123c49dae8,,
26,https://www.rbc.ru/politics/03/12/2023/656c021f9a79474cd3634a5c,,
27,https://www.rbc.ru/politics/03/12/2023/656bd1cb9a79470cdb9eee18,,
28,https://www.rbc.ru/politics/03/12/2023/656b9bde9a7947b3463b6852,,
29,https://www.rbc.ru/politics/02/12/2023/656b84019a794741d60b5c7a,,
30,https://www.rbc.ru/society/02/12/2023/656b666a9a794765d83e5de5,,
